latency,parallelism,time
53.0,1,1583064614.8446865
49.0,1,1583064644.8985994
49.0,1,1583064674.9558377
56.0,1,1583064705.0138063
45.0,1,1583064735.0617807
59.0,1,1583064765.1125672
44.0,1,1583064795.162115
59.0,1,1583064825.2155495
43.0,1,1583064855.259783
813.0,1,1583064885.311947
91.0,1,1583064915.3624392
87.0,1,1583064945.411901
107.0,1,1583064975.4686425
92.0,1,1583065005.524993
112.0,1,1583065035.580331
143.0,1,1583065065.640522
120.0,1,1583065095.6950157
102.0,1,1583065125.7518651
136.0,1,1583065155.8010323
88.0,1,1583065185.852049
111.0,1,1583065215.905671
133.0,1,1583065245.9638617
121.0,1,1583065276.0195756
7232.0,1,1583065306.070615
7232.0,1,1583065316.1283255
160.0,2,1583065354.0688884
64.0,2,1583065384.1274037
63.0,2,1583065414.1723008
62.0,2,1583065444.226025
237.0,2,1583065474.2813394
255.0,2,1583065504.3343759
58.0,2,1583065534.3831449
63.0,2,1583065564.4326692
59.0,2,1583065594.4875479
72.0,2,1583065624.5423644
72.0,2,1583065654.5993853
124.0,2,1583065684.6566937
60.0,2,1583065714.7199366
14197.0,2,1583065744.7720234
30783.0,2,1583065754.8270314
36639.0,5,1583065795.670229
36639.0,5,1583065795.6957755
4491.0,5,1583065825.7318442
4491.0,5,1583065825.760332
5493.0,5,1583065855.7924876
5493.0,5,1583065855.8189127
7977.0,5,1583065885.8535035
7977.0,5,1583065885.8791025
8818.0,5,1583065915.917353
8818.0,5,1583065915.9452465
11215.0,5,1583065945.9834785
11215.0,5,1583065946.0139532
12829.0,5,1583065976.0553493
12829.0,5,1583065976.090375
13413.0,5,1583066006.158792
13413.0,5,1583066006.2173247
14816.0,5,1583066036.3166718
14816.0,5,1583066036.3462691
15520.0,5,1583066066.488665
15520.0,5,1583066066.5216508
17292.0,5,1583066096.6556494
17292.0,5,1583066096.6984732
18597.0,5,1583066126.732922
18597.0,5,1583066126.764654
59.0,5,1583066156.8032656
46.0,1,1583066408.1451921
36.0,1,1583066438.1927342
58.0,1,1583066468.249931
83.0,1,1583066498.3027415
67.0,1,1583066528.3585014
266.0,1,1583066558.4117224
40.0,1,1583066588.4620636
34.0,1,1583066618.5160904
70.0,1,1583066648.572253
53.0,1,1583066678.6279225
29.0,1,1583066708.6809065
69.0,1,1583066738.731772
57.0,1,1583066768.7905312
36.0,1,1583066798.8342235
27.0,1,1583066828.89023
52.0,1,1583066858.9417503
47.0,1,1583066889.0017326
29.0,1,1583066919.0561523
71.0,1,1583066949.1020746
95.0,1,1583066979.1548336
19733.0,1,1583067009.203535
34873.0,1,1583067019.2891877
1137.0,2,1583067059.0160506
4117.0,2,1583067089.0638773
4117.0,2,1583067099.1275184
277.0,3,1583067139.005977
75.0,3,1583067169.064401
287.0,3,1583067199.125431
265.0,3,1583067229.1726546
132.0,3,1583067259.2227545
72.0,3,1583067289.4403281
74.0,3,1583067319.4976015
71.0,3,1583067349.5758855
76.0,3,1583067379.633207
74.0,3,1583067409.6923773
79.0,3,1583067439.7437649
263.0,3,1583067469.8008702
247.0,3,1583067499.854123
72.0,3,1583067529.9144742
84.0,3,1583067559.9743836
84.0,3,1583067590.0312924
76.0,3,1583067620.082958
82.0,3,1583067650.1210375
184.0,3,1583067680.1726716
275.0,3,1583067710.220882
67.0,3,1583067740.2706707
73.0,3,1583067770.3329768
66.0,3,1583067800.3629668
80.0,3,1583067830.4206307
78.0,3,1583067860.4724243
47.0,2,1583068049.158807
129.0,2,1583068079.212873
54.0,2,1583068109.2683723
47.0,2,1583068139.3225155
56.0,2,1583068169.3723557
64.0,2,1583068199.4225986
65.0,2,1583068229.47888
256.0,2,1583068259.521377
6564.0,2,1583068289.5768187
6564.0,2,1583068289.6055694
16863.0,2,1583068319.7051
16863.0,2,1583068329.7662356
22047.0,3,1583068369.6075063
22047.0,3,1583068369.6339345
135.0,3,1583068399.6728404
123.0,3,1583068429.7269864
86.0,3,1583068459.7829926
77.0,3,1583068489.8379123
273.0,3,1583068519.8910265
279.0,3,1583068549.9455383
282.0,3,1583068579.9924934
91.0,3,1583068610.1721394
87.0,3,1583068640.2464
103.0,3,1583068670.3045123
200.0,3,1583068700.3523483
112.0,3,1583068730.406949
30.0,1,1583068920.6492581
30.0,1,1583068950.7124183
56.0,1,1583068980.7658758
35.0,1,1583069010.8120575
51.0,1,1583069040.8615472
64.0,1,1583069070.9162593
48.0,1,1583069100.9716988
