rate,time
10000,1583064418.4757705
10000,1583064838.5735269
27000,1583064838.5893686
27000,1583065258.689462
42000,1583065258.7159631
42000,1583065678.8135188
120000,1583065678.851625
120000,1583066098.982887
20000,1583066099.7088907
20000,1583066519.8035195
5000,1583066519.8426886
5000,1583066939.9135432
60000,1583066939.9624271
60000,1583067840.0535219
30000,1583067840.0745065
30000,1583068260.1745756
75000,1583068260.2105114
75000,1583068680.2283716
5000,1583068680.2630973
5000,1583069100.3631706
